User Input,Chatbot Response,Timestamp
hii,Hi there!,2024-12-29 21:26:42
how are you,Hi there!,2024-12-29 21:26:49
how are you?,Hi there!,2024-12-29 21:26:57
what ,I am a chatbot created to assist with your queries.,2024-12-29 21:27:02
how are you?,Hi there!,2024-12-29 21:27:15
how,Hi there!,2024-12-29 21:27:20
when,Greetings!,2024-12-29 21:27:23
good,Hi there!,2024-12-29 21:27:29
goooddd,How can I assist you today?,2024-12-29 21:27:36
fdskjnfasjd,Hi there!,2024-12-29 21:27:40
fdskjnfasjdkbdkjf,Greetings!,2024-12-29 21:27:42
fdskjnfasjdkbdkjfjsdbdfkj ,How can I assist you today?,2024-12-29 21:27:43
fdskjnfasjdkbdkjfjsdbdfkj sdjfb k,Hello!,2024-12-29 21:27:44
hello,Hi there!,2024-12-29 21:27:50
bye,See you soon!,2024-12-29 21:39:04
goodbye,Goodbye!,2024-12-29 21:39:12
good,Hi there!,2024-12-29 21:39:17
bye,Have a great day!,2024-12-29 21:39:20
bye,Take care!,2024-12-29 21:39:23
byebye,Hi there!,2024-12-29 21:39:25
byebyebye,How can I assist you today?,2024-12-29 21:39:27
byebyebyebye,Greetings!,2024-12-29 21:39:28
hi,Hello!,2024-12-29 21:42:10
hi,Hello!,2024-12-29 21:42:19
hi,Hello!,2024-12-29 21:42:22
hey,Greetings!,2024-12-29 21:42:25
hey,Greetings!,2024-12-29 21:42:28
hey,Greetings!,2024-12-29 21:42:31
heyy,Hi there!,2024-12-29 21:42:34
hey,Greetings!,2024-12-29 21:42:36
hey,Hello!,2024-12-29 21:42:40
